"キーCD","受注品番","サプライヤーコード","メーカー品番","メーカー名","商品の説明","メーカー品名","ブランド","シリーズ","規格コード","販売開始日","日本語表記"
"6300021235","6300021235","S115841770","OVERLIGHT2","ジェイウィン","曇らない、軽い、高いフィット感の保護メガネです。メガネの上から装着可能で、横の視界を妨げないデザインになっています。","保護メガネ　ボレーセフティ　ＯＶＥＲＬＩＧＨＴ２",,,"4580646301908",,"MRO"
"6300021236","6300021236","S115841770","STORM","ジェイウィン","曇らない、軽い、高いフィット感の保護メガネです。足元の視界を妨げないデザインで、メガネの上から装着可能です。","保護メガネ　ボレーセフティ　ＳＴＯＲＭ",,,"4580646301915",,"MRO"
"6300021237","6300021237","S115841770","G15","ジェイウィン","無気孔タイプで、使い捨て仕様になります。メガネの上から装着可能です。","無気孔ゴーグル　ボレーセフティ　Ｇ１５",,,"4580646301922",,"MRO"
"6300021238","6300021238","S115841770","JVC-AD3T","ジェイウィン","0.5秒で瞬時に表面温度を測定します。ワンアクションでアルコール除菌と温度測定が可能です。非接触対応のセンサー感知オートディスペンサーで、手をかざすと適量の除菌剤が霧状に噴射されます。","温度計付きオートディスペンサー　ＪＶＣ－ＡＤ３Ｔ",,,"4580646301939",,"MRO"
"6300021266","6300021266","S115841770","404-3010","ランドアート","草刈り時の飛散物から目を保護します。メガネを装着したままで使用できます。","防塵ゴーグル（ラバーゴムひも仕様）　４０４－３０１０",,,"4580646301946",,"MRO"
"6300021267","6300021267","S115841770","570-4251","ランドアート","シンプル構造で設置も簡単な餌吊式の小動物用の捕獲機になります。","害獣捕獲機Ｍ型　餌吊式（タヌキ、ネコなど）　５７０－４２５１",,,"4580646301953",,"MRO"
"6300021268","6300021268","S115841770","570-4253","ランドアート","設置が簡単な小動物用の捕獲機になります。餌吊式と違い、小さなエサも配置できる踏板式になります。","害獣捕獲機Ｍ型　踏板式（タヌキ、ネコなど）　５７０－４２５３",,,"4580646301960",,"MRO"
"6300021269","6300021269","S115841770","6300021269","ランドアート","鳥がおびえる本物の鳴き声や、電子音を収録した鳥害対策用品になります。慣れを防ぐ為、30秒～30分の運転間隔設定が可能です。吊るすだけの簡単設置で鳥を追い払います。6種類の音声パターンを内蔵しています。","鳥害対策トリサッタ　ＡＣ電源セット",,,"4580646301977",,"MRO"
"6300021272","6300021272","S115841770","403-3242","ランドアート","マジックテープで簡単に装着可能なスパイクになります。斜面での作業時の足元の滑りを軽減します。マジックテープで簡単に装着でき、8本の爪が草地にガッチリ食い込みます。錆に強いステンレス製スパイクです。","草刈スパイク　４０３－３２４２",,,"4580646302004",,"MRO"
"6300021273","6300021273","S115841770","570-1800","ランドアート","ウルフピーを入れて吊るしておく容器になります。6個入になります。3～6ｍの間隔をあけて、30～60cmの高さに設置します。","獣害対策ウルフピー用　３３日ディスペンサー　６個入　５７０－１８００",,,"4582309497126",,"MRO"
